nombre,calorias,p,c,g,porcion
Tofu (firme),76,8,1.9,4.8,100g
Quinoa (cocida),120,4.4,21.3,1.9,100g
Cottage Cheese,98,11.1,3.4,4.3,100g
Leche Descremada,35,3.4,5,0.1,100g
Leche Entera (taza),61,3.2,4.8,3.3,200g
Pechuga de Pollo (100g),165,31,0,3.6,100g
Pavo (pechuga,100g),104,17,1,2,100g
Carne de Res Magra (100g),217,26,0,12,100g
Salmón (100g),208,20,0,13,100g
Atún (en agua,100g),116,26,0,0.8,100g
Gambas (100g),99,24,0,1,100g
Huevos (1 unidad),78,6.3,0.6,5.3,50g
Claras de Huevo (1 unidad,33g),17,3.6,0.2,0,33g
huevos fritos (1 unidad,50g),90,6.3,0.6,7,50g
Avena (seca,40g),156,6.8,27,3,40g
Pan Integral (1 rebanada),69,3.5,12,1,25g
Arroz Integral (cocido,100g),111,2.6,23,0.9,100g
Pasta Integral (cocida,100g),124,5,26,1.2,100g
Lentejas (cocidas,100g),116,9,20,0.4,100g
Garbanzos (cocidos,100g),164,8.9,27,2.6,100g
Frijoles Negros (cocidos,100g),132,8.9,23.7,0.5,100g
Toallas de Maíz (Arepa,100g),450,8,40,22,100g
Papa (cocida,100g),87,1.9,20,0.1,100g
Batata (cocida,100g),86,1.6,20,0.1,100g
Maíz (granos,100g),86,3,19,1,100g
Plátano (banana,100g),89,1.1,23,0.3,100g
Manzana (100g),52,0.3,14,0.2,100g
Pera (100g),57,0.4,15,0.1,100g
Naranja (100g),47,0.9,12,0.1,100g
Fresas (100g),33,0.7,8,0.3,100g
Arándanos (100g),57,0.7,14,0.3,100g
Aguacate (100g),160,2,8.5,15,100g
Almendras (30g),174,6.4,6.1,15,30g
Maní (30g),167,7,6,14,30g
Nueces (30g),196,4.4,4,20,30g
Semillas de Chía (28g),137,4.4,12,8.6,28g
Semillas de Lino (28g),150,5.2,8.1,11.8,28g
Aceite de Oliva (1 cucharada),119,0,0,13.5,13.5g
Yogur Griego (100g),59,10,3.6,0.4,100g
Queso Cottage (100g),98,11.1,3.4,4.3,100g
Queso Mozzarella (30g),85,6,1,6,30g
Helado (1 bola 80g),200,3.5,24,11,80g
Pizza (1 rebanada 100g),270,12,30,12,100g
Hamburguesa (sencilla 150g),250,15,30,10,150g
Papas Fritas (100g),312,3.4,41,15,100g
Refresco Cola (355ml),150,0,39,0,355ml
Jugo de Naranja (250ml),112,2,26,0.5,250ml
Chocolate Oscuro (20g),116,1.4,12,7.4,20g
Miel (1 cucharada 21g),64,0.1,17,0,21g
Proteína Whey (1 scoop 30g),120,24,3,1.5,30g
